iter	Passed	Remaining
621	11041	113222
622	11065	113263
623	11076	113182
624	11100	113225
625	11124	113272
626	11148	113316
627	11171	113351
628	11194	113382
629	11219	113446
630	11244	113493
631	11267	113531
632	11287	113539
633	11312	113585
634	11335	113625
635	11360	113679
636	11383	113712
637	11407	113750
638	11421	113700
639	11444	113730
640	11456	113652
641	11479	113683
642	11502	113718
643	11525	113753
644	11540	113701
645	11562	113726
646	11585	113758
647	11607	113785
648	11625	113768
649	11648	113801
650	11671	113830
651	11694	113859
652	11717	113894
653	11741	113928
654	11763	113956
655	11778	113901
656	11800	113928
657	11812	113854
658	11835	113884
659	11844	113776
660	11866	113803
661	11890	113837
662	11913	113865
663	11935	113895
664	11959	113928
665	11982	113956
666	12001	113955
667	12024	113982
668	12047	114012
669	12070	114043
670	12087	114011
671	12111	114052
672	12134	114081
673	12158	114113
674	12181	114142
675	12203	114167
676	12220	114138
677	12237	114110
678	12251	114054
679	12275	114087
680	12297	114111
681	12320	114133
682	12344	114171
683	12359	114125
684	12379	114126
685	12402	114151
686	12426	114187
687	12448	114209
688	12472	114239
689	12492	114240
690	12515	114265
691	12538	114294
692	12563	114340
693	12587	114377
694	12611	114407
695	12635	114445
696	12658	114475
697	12676	114450
698	12700	114484
699	12723	114512
700	12748	114551
701	12771	114581
702	12786	114534
703	12809	114555
704	12833	114589
705	12856	114619
706	12880	114648
707	12903	114676
708	12920	114648
709	12943	114665
710	12967	114703
711	12992	114740
712	13019	114802
713	13043	114830
714	13060	114802
715	13083	114828
716	13105	114846
717	13128	114867
718	13152	114897
719	13176	114924
720	13198	114943
721	13222	114970
722	13245	114991
723	13269	115024
724	13292	115049
725	13315	115073
726	13339	115098
727	13362	115120
728	13385	115143
729	13408	115165
730	13422	115111
731	13446	115136
732	13454	115032
733	13477	115056
734	13501	115085
735	13525	115112
736	13549	115144
737	13572	115163
738	13595	115184
739	13619	115211
740	13642	115233
741	13666	115264
742	13689	115285
743	13712	115299
744	13735	115321
745	13761	115364
746	13784	115387
747	13807	115407
748	13825	115382
749	13847	115398
750	13871	115423
751	13892	115424
752	13916	115449
753	13939	115475
754	13963	115496
755	13986	115515
756	14008	115529
757	14031	115546
758	14054	115564
759	14078	115588
760	14101	115612
761	14124	115628
762	14141	115595
763	14165	115620
764	14188	115642
765	14211	115657
766	14234	115680
767	14258	115702
768	14270	115629
769	14293	115649
770	14302	115551
771	14326	115574
772	14349	115595
773	14376	115639
774	14401	115673
775	14412	115599
776	14436	115621
777	14459	115640
778	14483	115662
779	14507	115687
780	14530	115701
781	14553	115722
782	14577	115742
783	14601	115765
784	14609	115666
785	14632	115682
786	14656	115705
787	14679	115722
788	14702	115734
789	14726	115759
790	14749	115775
791	14763	115720
792	14785	115732
793	14808	115746
794	14831	115762
795	14854	115776
796	14877	115790
797	14900	115805
798	14923	115822
799	14946	115838
800	14969	115846
801	14992	115864
802	15015	115878
803	15037	115889
804	15060	115904
805	15084	115920
806	15107	115937
807	15130	115953
808	15153	115966
809	15177	115985
810	15200	115997
811	15222	116008
812	15246	116024
813	15269	116039
814	15292	116055
815	15312	116046
816	15337	116072
817	15362	116098
818	15385	116113
819	15408	116130
820	15431	116140
821	15451	116132
822	15474	116145
823	15498	116164
824	15522	116183
825	15546	116199
826	15569	116214
827	15592	116228
828	15615	116243
829	15638	116254
830	15662	116273
831	15686	116287
832	15709	116300
833	15723	116250
834	15746	116260
835	15770	116278
836	15793	116293
837	15817	116308
838	15840	116320
839	15864	116336
840	15887	116348
841	15910	116364
842	15934	116380
843	15957	116389
844	15980	116404
845	16003	116414
846	16026	116426
847	16049	116435
848	16072	116442
849	16095	116454
850	16118	116464
851	16141	116474
852	16163	116480
853	16185	116484
854	16209	116499
855	16233	116516
856	16257	116537
857	16281	116552
858	16304	116561
859	16328	116575
860	16351	116585
861	16375	116600
862	16397	116607
863	16420	116616
864	16443	116628
865	16466	116637
866	16490	116648
867	16513	116662
868	16536	116671
869	16560	116683
870	16583	116695
871	16606	116703
872	16629	116709
873	16651	116715
874	16675	116725
875	16698	116734
876	16721	116747
877	16744	116754
878	16768	116766
879	16790	116770
880	16813	116781
881	16837	116795
882	16861	116810
883	16885	116820
884	16908	116829
885	16932	116842
886	16954	116848
887	16977	116853
888	17000	116859
889	17023	116869
890	17047	116886
891	17074	116919
892	17101	116953
893	17128	116985
894	17153	117008
895	17179	117034
896	17207	117076
897	17233	117102
898	17261	117143
899	17291	117199
900	17320	117248
901	17347	117281
902	17377	117328
903	17406	117379
904	17437	117434
905	17467	117487
906	17496	117537
907	17524	117574
908	17550	117605
909	17576	117625
910	17600	117637
911	17627	117672
912	17655	117707
913	17680	117728
914	17708	117763
915	17736	117802
916	17764	117839
917	17793	117886
918	17821	117923
919	17850	117969
920	17879	118009
921	17905	118036
922	17933	118075
923	17958	118093
924	17987	118133
925	18015	118168
926	18046	118228
927	18073	118255
928	18102	118297
929	18130	118337
930	18157	118364
931	18186	118408
932	18217	118463
933	18251	118534
934	18277	118561
935	18303	118582
936	18329	118605
937	18358	118647
938	18385	118671
939	18410	118687
940	18438	118722
941	18465	118751
942	18496	118802
943	18525	118848
944	18554	118884
945	18581	118913
946	18610	118954
947	18637	118980
948	18666	119021
949	18692	119043
950	18719	119066
951	18744	119080
952	18771	119106
953	18798	119134
954	18829	119187
955	18856	119216
956	18886	119261
957	18915	119295
958	18942	119326
959	18968	119343
960	18995	119372
961	19021	119387
962	19046	119399
963	19071	119416
964	19099	119445
965	19130	119499
966	19158	119524
967	19183	119541
